#.t	.River_1.DO	.River_1.NH4	.River_2.DO	.River_2.NH4	.River_3.DO	.River_3.NH4	.River_4.DO	.River_4.NH4	.River_5.DO	.River_5.NH4
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3
121	7.2992851	0.049021582	6.9185033	0.04810925	6.7122262	0.047237076	6.6034598	0.046382748	6.5482579	0.045536858
121.01	7.6911105	0.049055311	7.342574	0.048113792	7.1480536	0.047238814	7.0452685	0.046385062	6.9938132	0.045540081
121.02	7.9899868	0.049083772	7.70682	0.048122251	7.5260214	0.047240813	7.4290311	0.046387092	7.3808713	0.045543
121.03	8.2177925	0.049107713	8.0145281	0.048133972	7.8513121	0.047243532	7.7602731	0.04638895	7.715074	0.045545649
121.04	8.3959139	0.049128134	8.2753336	0.04814804	8.1333948	0.047247222	8.0487607	0.046390775	8.0063304	0.045548087
121.05	8.5333931	0.049146066	8.4924369	0.04816403	8.3749661	0.047252204	8.2974464	0.046392743	8.2577027	0.045550373
121.06	8.6418085	0.04916156	8.674071	0.048181418	8.5830743	0.04725862	8.5134476	0.046395044	8.4764166	0.04555261
121.07	8.7271569	0.04917472	8.8243056	0.048199695	8.7606714	0.047266613	8.6997179	0.046397852	8.6655134	0.045554861
121.08	8.7970374	0.049186166	8.9516382	0.048218346	8.9152304	0.047275979	8.8635117	0.046401223	8.8322792	0.04555718
121.09	8.8521526	0.049196073	9.0560757	0.04823714	9.0461012	0.047286887	9.0041358	0.046405376	8.9760628	0.045559672
121.1	8.8976251	0.049204829	9.1441156	0.048255826	9.1591869	0.047299187	9.1272323	0.046410414	9.1025017	0.045562441
121.11	8.9352968	0.049212441	9.2180515	0.048274206	9.2564501	0.047312783	9.2345994	0.046416433	9.2133812	0.045565573
121.12	8.9666956	0.049219056	9.2800407	0.048292074	9.3397345	0.047327584	9.3278831	0.046423545	9.3103233	0.045569162
121.13	8.9933368	0.04922518	9.3333641	0.048309389	9.4125385	0.047343273	9.4104575	0.046431627	9.3966465	0.0455732
121.14	9.0148478	0.049230743	9.3774904	0.048326	9.474045	0.047359791	9.4813386	0.046440812	9.47134	0.045577785
121.15	9.0326605	0.049235545	9.4141931	0.048341843	9.5261447	0.047376939	9.5423056	0.046451074	9.5361278	0.04558297
121.16	9.0476997	0.049239744	9.4451621	0.048356887	9.5707304	0.047394537	9.5952075	0.046462361	9.592811	0.045588793
121.17	9.0603061	0.049243519	9.4713089	0.048371196	9.6089148	0.04741243	9.641172	0.046474557	9.642503	0.045595255
121.18	9.0709877	0.049246886	9.4934047	0.048384677	9.6415105	0.047430509	9.6809261	0.046487734	9.6858746	0.045602475
121.19	9.080108	0.049249796	9.511917	0.048397295	9.6690486	0.047448637	9.7149712	0.04650187	9.7233978	0.045610537
121.2	9.0882595	0.049252394	9.5281143	0.048409188	9.6931947	0.047466687	9.7450968	0.046516757	9.7568593	0.045619348
121.21	9.0953107	0.049254687	9.541888	0.048420327	9.7138122	0.047484576	9.7711269	0.046532358	9.7860655	0.04562895
121.22	9.1011784	0.049256715	9.5534125	0.048430708	9.7311978	0.047502179	9.7933705	0.046548565	9.8113039	0.04563933
121.23	9.1059257	0.049258471	9.5629095	0.048440333	9.7457039	0.047519386	9.8122067	0.046565275	9.8329361	0.045650475
121.24	9.1097151	0.04925996	9.5706165	0.048449239	9.7576652	0.047536135	9.8280063	0.046582387	9.8513328	0.04566236
121.25	9.1128162	0.049261235	9.5769443	0.048457466	9.7675993	0.047552384	9.8413398	0.046599821	9.8670735	0.045674978
121.26	9.1155938	0.049262364	9.5823819	0.048465078	9.7760936	0.047568116	9.8528525	0.046617518	9.880822	0.04568833
121.27	9.1183637	0.04926339	9.587337	0.048472154	9.7836323	0.047583339	9.8630731	0.046635418	9.8931248	0.045702403
121.28	9.1212532	0.04926433	9.5920147	0.04847874	9.7904844	0.047598039	9.8723038	0.046653451	9.9042931	0.045717168
121.29	9.1241633	0.049265212	9.5964357	0.048484865	9.7967187	0.047612194	9.8806335	0.046671533	9.9144165	0.045732569
121.3	9.126827	0.049266086	9.6005272	0.048490558	9.8023159	0.04762579	9.888068	0.046689578	9.9235032	0.045748528
121.31	9.1289426	0.049266903	9.6039217	0.04849581	9.8069426	0.047638766	9.8942571	0.046707475	9.9311759	0.045764969
121.32	9.1305634	0.049267575	9.6065653	0.048500577	9.810554	0.047651009	9.8991504	0.046725107	9.9373673	0.045781884
121.33	9.1319456	0.049268164	9.6088247	0.048505035	9.8136287	0.047662777	9.9033503	0.046742523	9.9427579	0.045799066
121.34	9.1330873	0.049268652	9.6106522	0.048509148	9.8161175	0.047673969	9.9067923	0.046759639	9.9472653	0.045816537
121.35	9.1339931	0.049269015	9.6120348	0.048512845	9.8179788	0.047684463	9.9094136	0.046776327	9.950807	0.045834272
121.36	9.134721	0.049269326	9.6131448	0.04851624	9.8194496	0.047694419	9.9115164	0.046792636	9.9537285	0.045852151
121.37	9.1353118	0.049269593	9.6140466	0.048519389	9.8206157	0.04770394	9.9132129	0.046808618	9.9561614	0.045870114
121.38	9.1352283	0.049269992	9.6144917	0.04852223	9.8212497	0.047712824	9.914252	0.046824062	9.9578241	0.045888118
121.39	9.1337018	0.049270363	9.6136046	0.048524733	9.8205161	0.047721048	9.9137805	0.046838893	9.9578209	0.045905983
121.4	9.1310954	0.049270509	9.6113915	0.048526877	9.8184271	0.047728611	9.9118489	0.04685306	9.9562291	0.045923624
121.41	9.1277824	0.04927049	9.6082513	0.048528769	9.8154007	0.047735687	9.9089238	0.046866708	9.9535616	0.045941058
121.42	9.1236499	0.049270277	9.6040591	0.048530352	9.8113006	0.047742186	9.9048484	0.046879742	9.9496462	0.045958215
121.43	9.1188816	0.049269857	9.5988934	0.048531567	9.8061796	0.047748027	9.8997199	0.046892009	9.9446118	0.045974964
121.44	9.113661	0.049269306	9.5930611	0.048532503	9.8003506	0.047753367	9.8938614	0.046903675	9.9388054	0.045991352
121.45	9.1080306	0.049268631	9.5866236	0.048533167	9.7938722	0.047758221	9.8873332	0.046914747	9.9322932	0.046007357
121.46	9.1023339	0.049267749	9.5797613	0.048533611	9.7869299	0.047762666	9.8803373	0.046925295	9.9252966	0.046023003
121.47	9.0969164	0.049266306	9.5723833	0.048533653	9.7793381	0.04776652	9.8726716	0.046935097	9.9176043	0.046038102
121.48	9.0911971	0.049264844	9.5647161	0.04853339	9.7713491	0.047769918	9.8645955	0.046944297	9.909489	0.046052708
121.49	9.0851747	0.049263357	9.5567466	0.0485328	9.7629511	0.04777282	9.856089	0.046952863	9.9009335	0.046066798
121.5	9.0789988	0.049261822	9.54857	0.04853198	9.7542834	0.04777533	9.8472949	0.046960915	9.8920842	0.046080437
